duid,fy_start,fy_label,curtailment_pct,metric_version,generation_mwh,months_covered
DUNDWF3,2023,FY23-24,0.0842,2.0-proxy,332954.0,12
DUNDWF3,2024,FY24-25,0.0345,2.0-proxy,387651.0,12
DUNDWF3,2025,FY25-26,0.0356,2.0-proxy,402584.0,12
DUNDWF3,2026,FY26-27,0.2595,2.0-proxy,52008.0,2
EDENVSF1,2022,FY22-23,0.0484,2.0-proxy,50328.0,5
EDENVSF1,2023,FY23-24,0.0137,2.0-proxy,365484.0,12
EDENVSF1,2024,FY24-25,0.0583,2.0-proxy,359095.0,12
EDENVSF1,2025,FY25-26,0.129,2.0-proxy,352457.0,12
EDENVSF1,2026,FY26-27,0.0,2.0-proxy,58055.0,2
ELAINWF1,2020,FY20-21,0.0225,2.0-proxy,60592.0,4
ELAINWF1,2021,FY21-22,0.0708,2.0-proxy,151950.0,9
ELAINWF1,2022,FY22-23,0.1367,2.0-proxy,201703.0,12
ELAINWF1,2023,FY23-24,0.1653,2.0-proxy,177666.0,12
ELAINWF1,2024,FY24-25,0.1792,2.0-proxy,168593.0,10
ELAINWF1,2025,FY25-26,0.3163,2.0-proxy,174878.0,12
ELAINWF1,2026,FY26-27,0.0637,2.0-proxy,38686.0,2
EMERASF1,2020,FY20-21,0.1152,2.0-proxy,47374.0,4
EMERASF1,2021,FY21-22,0.1546,2.0-proxy,156493.0,12
EMERASF1,2022,FY22-23,0.2015,2.0-proxy,134705.0,12
EMERASF1,2023,FY23-24,0.3527,2.0-proxy,102563.0,12
EMERASF1,2024,FY24-25,0.004,2.0-proxy,173209.0,12
EMERASF1,2025,FY25-26,0.0116,2.0-proxy,162345.0,12
EMERASF1,2026,FY26-27,0.0226,2.0-proxy,24242.0,2
FINLYSF1,2020,FY20-21,0.0251,2.0-proxy,78138.0,4
FINLYSF1,2021,FY21-22,0.0285,2.0-proxy,246929.0,12
FINLYSF1,2022,FY22-23,0.0192,2.0-proxy,278047.0,12
FINLYSF1,2023,FY23-24,0.0705,2.0-proxy,267087.0,12
FINLYSF1,2024,FY24-25,0.0806,2.0-proxy,255298.0,12
FINLYSF1,2025,FY25-26,0.1314,2.0-proxy,160940.0,11
FINLYSF1,2026,FY26-27,0.0342,2.0-proxy,14545.0,2
FLYCRKWF,2023,FY23-24,0.0283,2.0-proxy,72612.0,10
FLYCRKWF,2024,FY24-25,0.052,2.0-proxy,367625.0,12
FLYCRKWF,2025,FY25-26,0.0195,2.0-proxy,301471.0,12
FLYCRKWF,2026,FY26-27,0.0,2.0-proxy,47166.0,2
GANGARR1,2021,FY21-22,0.0305,2.0-proxy,20403.0,8
GANGARR1,2022,FY22-23,0.0252,2.0-proxy,175815.0,12
GANGARR1,2023,FY23-24,0.0228,2.0-proxy,192177.0,12
GANGARR1,2024,FY24-25,0.1932,2.0-proxy,182466.0,12
GANGARR1,2025,FY25-26,0.35,2.0-proxy,173791.0,12
GANGARR1,2026,FY26-27,0.0518,2.0-proxy,35181.0,2
GANNSF1,2020,FY20-21,0.0211,2.0-proxy,27819.0,4
GANNSF1,2021,FY21-22,0.0471,2.0-proxy,103689.0,12
GANNSF1,2022,FY22-23,0.0462,2.0-proxy,104057.0,12
GANNSF1,2023,FY23-24,0.0522,2.0-proxy,105620.0,12
GANNSF1,2024,FY24-25,0.0546,2.0-proxy,99497.0,12
GANNSF1,2025,FY25-26,0.079,2.0-proxy,99287.0,12
GANNSF1,2026,FY26-27,0.0241,2.0-proxy,9564.0,2
GESF1,2025,FY25-26,0.2953,2.0-proxy,52754.0,8
GESF1,2026,FY26-27,0.3561,2.0-proxy,18887.0,2
GIRGSF,2024,FY24-25,0.265,2.0-proxy,97744.0,12
GIRGSF,2025,FY25-26,0.3426,2.0-proxy,110700.0,12
GIRGSF,2026,FY26-27,0.0744,2.0-proxy,18194.0,2
GLENSF1,2023,FY23-24,0.1959,2.0-proxy,86433.0,7
GLENSF1,2024,FY24-25,0.0792,2.0-proxy,236053.0,12
GLENSF1,2025,FY25-26,0.0243,2.0-proxy,238783.0,12
GLENSF1,2026,FY26-27,0.0049,2.0-proxy,26200.0,2
GLRWNSF1,2020,FY20-21,0.0147,2.0-proxy,51173.0,4
GLRWNSF1,2021,FY21-22,0.0656,2.0-proxy,208279.0,12
GLRWNSF1,2022,FY22-23,0.0749,2.0-proxy,214747.0,12
GLRWNSF1,2023,FY23-24,0.199,2.0-proxy,212408.0,12
